Wort,Rank,Sprachniveau_Est,Wortart,Erklärung,DWDS_Erklärung,Synonyme,Beispielsatz
ich,1,A1-B1,Pron,bezeichnet die eigene Person; 1. Person Singular,,,Ich lerne Deutsch.
sie,2,A1-B1,Pron,"Personalpronomen 3. Person Femininum Singular, welches eine zuvor benutzte Nominalphrase im Femininum  ersetzt oder bei fehlendem oder weit entferntem Bezugswort auf eine Person weiblichen natürlichen Geschlechts verweist",,,"Das Mädchen war so in sein Spiel vertieft, dass es die Zeit vergaß. Dadurch kam sie zu spät nachhause."
du,3,A1-B1,Pron,"der Angesprochene oder Angeschriebene, falls nicht die Höflichkeitsform Sie verwendet wird",,,Hörst du mir zu?
nicht,4,A1-B1,Particle,"Partikel, die die Verneinung, die Negierung beziehungsweise die Negation ausdrückt",,,Sie kommt nicht.
die,5,A1-B1,Det,weiblicher bestimmter Artikel im Nominativ und Akkusativ Singular,sein | ihr | derjenige,,Sie war die Frau des Präsidenten.
es,6,A1-B1,Pron,ersetzt eine zuvor benutzte Nominalphrase im Neutrum,dessen | Halbton unter E,,"Jedes Mitglied kann fristlos austreten, wenn es dies wünscht."
und,7,A1-B1,Conj,"verbindet allgemein Satzteile und Sätze; kann Satzzeichen  ersetzen, ermöglicht Aufzählung, Beiordnung, Ergänzung, Summierung und Hinzufügung","zugleich | zugezählt zu, addiert mit, plus | selbst wenn es der Fall wäre, schadet es nichts, tut es doch nichts!","doch, wohingegen, ansonst, zugleich, hierneben",Die Sonne scheint und es ist warm.
der,8,A1-B1,Det,definiter Artikel,sein | ihr | derjenige,,Der Mann ist hübsch.
wir,9,A1-B1,Pron,"1. Person Plural; mehrere Personen, die sprechende eingeschlossen",,,"Wir, das sind mindestens zwei."
was,10,A1-B1,Pron,sächliches Fragewort,"von welcher Art, Beschaffenheit | etwas","etwas, welches, das",Was ist denn das da?
zu,11,A1-B1,Prep,in Richtung auf,"in höherem oder geringerem Maß als angemessen, zulässig, möglich o. ä. | in außergewöhnlich hohem Maß | in Richtung auf ein Ziel",,Er lief zu seiner Mutter.
er,12,A1-B1,Pron,"Personalpronomen 3. Person Neutrum Singular, welches eine zuvor benutzte Nominalphrase im Maskulinum  ersetzt oder bei fehlendem oder weit entferntem Bezugswort auf eine Person männlichen natürlichen Geschlechts verweist",,der,"‚Schau mal, da hinten. Ist er nicht süß?‘, sagte sie. ‚Ja‘, antwortete ihre Freundin, ‚eine angenehme Erscheinung.‘"
ein,13,A1-B1,Pron,nicht oder nur zuvor näher definierte Person oder Sache,"so ein, solch ein | ein Mann wie",,Das macht einen Euro.
in,14,A1-B1,Prep,"Angabe eines Ortes, innerhalb dessen sich etwas befindet oder tut; Bestandteil einer Antwort auf die Frage mit „wo“","mit | von aktuellem Interesse, im (Mode-)‍Trend","zu, an, nach, auf",In den Alpen findet man herrliche Landschaftsmotive.
ja,15,A1-B1,Particle,"drückt Zustimmung, Einverständnis aus",sogar | doch | wirklich,"jawohl, gern, jawoll, in der Tat, sehr wohl",„Surfst du im Internet?“ ‒ „Ja!“
mir,16,A1-B1,Pron,Dativ der ersten Person Singular,,,Das gefällt mir.
